county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Dickens County, TX	48125	http://www.inaturalist.org/observations?place_id=1709	8	20978	Couch's Spadefoot	Scaphiopus couchii	http://farm2.staticflickr.com/1163/1331436434_c52b54b271_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	1
Kerr County, TX	48265	http://www.inaturalist.org/observations?place_id=1710	474	40151	Raccoon	Procyon lotor	http://farm4.staticflickr.com/3283/2729562910_c2d626d430_s.jpg	(c) Josh More, some rights reserved (CC BY-NC-ND)	8
Lipscomb County, TX	48295	http://www.inaturalist.org/observations?place_id=1711	26	3	Wild Turkey	Meleagris gallopavo	http://farm4.staticflickr.com/3210/3038308796_75ef92bb76_s.jpg	(c) Per Verdonk, some rights reserved (CC BY-NC)	3
La Salle County, TX	48283	http://www.inaturalist.org/observations?place_id=1712	144	26036	Checkered Garter Snake	Thamnophis marcianus	http://farm5.staticflickr.com/4140/4941324911_d2a0e2b938_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	17
Lavaca County, TX	48285	http://www.inaturalist.org/observations?place_id=1806	33	26036	Red-eared Slider	Trachemys scripta elegans	http://static.inaturalist.org/photos/49935/square.jpg?1444359856	(c) Syd Phillips, some rights reserved (CC BY-NC)	4
Lee County, TX	48287	http://www.inaturalist.org/observations?place_id=1807	1463	40151	White-tailed Deer	Odocoileus virginianus	http://farm2.staticflickr.com/1354/751501000_16bdd8f809_s.jpg	(c) J. Martin, some rights reserved (CC BY-NC)	13
Gonzales County, TX	48177	http://www.inaturalist.org/observations?place_id=2426	551	47158	Blue-faced Ringtail	Erpetogomphus eutainia	http://static.inaturalist.org/photos/198379/square.jpg?1352002797	(c) greglasley, some rights reserved (CC BY-NC), uploaded by Greg Lasley	18
Hockley County, TX	48219	http://www.inaturalist.org/observations?place_id=2427	12	26036	Glossy Snake	Arizona elegans	http://farm5.staticflickr.com/4035/4421116573_1efea91acf_s.jpg	(c) Kerry Matz, some rights reserved (CC BY-NC-SA)	1
Johnson County, TX	48251	http://www.inaturalist.org/observations?place_id=2428	549	3	Northern Mockingbird	Mimus polyglottos	http://static.inaturalist.org/photos/247738/square.jpg?1444599460	(c) BJ Stacey, some rights reserved (CC BY-NC)	23
Kimble County, TX	48267	http://www.inaturalist.org/observations?place_id=2429	400	3	Painted Bunting	Passerina ciris	http://farm4.staticflickr.com/3299/3525144837_2d1a7fb071_s.jpg	(c) Francesco Veronesi, some rights reserved (CC BY-NC-SA)	9
Karnes County, TX	48255	http://www.inaturalist.org/observations?place_id=2430	72	26036	Texas Horned Lizard	Phrynosoma cornutum	http://farm1.staticflickr.com/184/395828737_dc53a4b698_s.jpg	(c) Amy  Buthod, some rights reserved (CC BY-NC-SA)	6
