"login","user_id","user_icon","identifications","species","wg","wg"
"wgsflyfish",454405,"https://static.inaturalist.org/attachments/users/icons/454405/medium.jpg?1492432927",20,18,0,0
"mrbryanames",607566,"https://static.inaturalist.org/attachments/users/icons/607566/medium.jpg?1504006821",20,12,0,0
"justincmiller",663636,"https://static.inaturalist.org/attachments/users/icons/663636/medium.jpg?1507573673",20,20,0,0
"finatic",10285,"https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519",19,101,0,0
"budak",45181,"https://static.inaturalist.org/attachments/users/icons/45181/medium.jpeg?1475553526",19,24,0,0
"d99",62883,"",19,16,0,0
"libbing_life",168642,"https://static.inaturalist.org/attachments/users/icons/168642/medium.jpg?1510270812",19,16,0,0
"mnolito",184430,"https://static.inaturalist.org/attachments/users/icons/184430/medium.jpg?1475538518",19,17,0,0
"taytoncatchesfish",580546,"https://static.inaturalist.org/attachments/users/icons/580546/medium.jpg?1502754704",19,8,0,0
"nickcrompton",586309,"https://static.inaturalist.org/attachments/users/icons/586309/medium.gif?1512404182",19,17,0,0
"viktorvg",609022,"https://static.inaturalist.org/attachments/users/icons/609022/medium.jpg?1504300436",19,19,0,0
"chrispayne643",692681,"https://static.inaturalist.org/attachments/users/icons/692681/medium.jpg?1509792253",19,15,0,0
"dpom",16101,"https://static.inaturalist.org/attachments/users/icons/16101/medium.jpg?1483058050",18,116,0,0
"samfellows566",37282,"https://static.inaturalist.org/attachments/users/icons/37282/medium.jpg?1488384555",18,18,0,0
"laragibson",43726,"https://static.inaturalist.org/attachments/users/icons/43726/medium.jpg?1503833099",18,8,0,0
"protopianpicklejar",100068,"https://static.inaturalist.org/attachments/users/icons/100068/medium.jpg?1479484309",18,15,0,0
"salmonskyview",100322,"https://static.inaturalist.org/attachments/users/icons/100322/medium.jpg?1475545034",18,36,0,0
"leibele",112445,"https://static.inaturalist.org/attachments/users/icons/112445/medium.jpg?1475548331",18,14,0,0
"fatroosterfarm",112646,"https://static.inaturalist.org/attachments/users/icons/112646/medium.jpg?1481848741",18,23,0,0
"montanaclan",231584,"https://static.inaturalist.org/attachments/users/icons/231584/medium.png?1475543347",18,20,0,0
"gordon_dietzman",265027,"",18,9,0,0
