"login","user_id","user_icon","identifications","species","wg"
"truthseqr",209572,"https://static.inaturalist.org/attachments/users/icons/209572/medium.jpg?1491681286",30,4,0
"katya",215001,"https://static.inaturalist.org/attachments/users/icons/215001/medium.jpg?1508702681",30,9,0
"peggywu",221979,"https://static.inaturalist.org/attachments/users/icons/221979/medium.jpg?1475541091",30,5,0
"fatahabib92",237702,"https://static.inaturalist.org/attachments/users/icons/237702/medium.jpg?1484310992",30,25,0
"tigerbb",306991,"https://static.inaturalist.org/attachments/users/icons/306991/medium.jpg?1475529894",30,20,0
"monicaeb",409205,"https://static.inaturalist.org/attachments/users/icons/409205/medium.jpg?1487478014",30,22,0
"176",444033,"",30,5,0
"ajzellmer",3631,"https://static.inaturalist.org/attachments/users/icons/3631/medium.png?1475528957",29,10,0
"mikeburrell",5967,"https://static.inaturalist.org/attachments/users/icons/5967/medium.jpeg?1475530397",29,9,0
"sarahb",104942,"",29,10,0
"lancedj",229788,"https://static.inaturalist.org/attachments/users/icons/229788/medium.jpg?1494815580",29,15,0
"arianna_spada",384651,"https://static.inaturalist.org/attachments/users/icons/384651/medium.jpeg?1488660646",29,9,0
"colin25",390621,"https://static.inaturalist.org/attachments/users/icons/390621/medium.jpg?1510202697",29,5,0
"timbova",392866,"https://static.inaturalist.org/attachments/users/icons/392866/medium.jpeg?1484865151",29,25,0
"steven_wilson",410670,"https://static.inaturalist.org/attachments/users/icons/410670/medium.jpg?1488510039",29,12,0
"shadowshy",457332,"https://static.inaturalist.org/attachments/users/icons/457332/medium.jpg?1492611956",29,13,0
"fs00",600287,"",29,6,0
"zabbey",3090,"https://static.inaturalist.org/attachments/users/icons/3090/medium.jpg?1475528703",28,10,0
"redhat",26480,"https://static.inaturalist.org/attachments/users/icons/26480/medium.jpg?1491729289",28,6,0
